[The, 26]
[Project, 165]
[Gutenberg, 165]
[EBook, 3]
[of, 213]
[La, 877]
[Regenta, 480]
[by, 40]
[Leopoldo, 11]
[Alas, 14]
[This, 10]
[eBook, 14]
[is, 52]
[for, 42]
[the, 319]
[use, 20]
[anyone, 10]
[anywhere, 4]
[at, 29]
[no, 5426]
[cost, 6]
[and, 134]
[with, 92]
[almost, 4]
[restrictions, 4]
[whatsoever, 4]
[You, 24]
[may, 30]
[copy, 24]
[it, 26]
[give, 6]
[away, 6]
[or, 146]
[re, 5]
[under, 10]
[terms, 38]
[License, 20]
[included, 6]
[this, 74]
[online, 8]
[www, 15]
[gutenberg, 16]
[net, 14]
[Title, 2]
[Author, 2]
[Release, 2]
[Date, 3]
[November, 1]
[16, 1]
[2005, 2]
[17073, 4]
[Language, 2]
[Spanish, 2]
[START, 4]
[OF, 20]
[THIS, 8]
[PROJECT, 8]
[GUTENBERG, 8]
[EBOOK, 4]
[LA, 4]
[REGENTA, 2]
[Produced, 2]
[Chuck, 3]
[Greif, 3]
[por, 3536]
[Clarín, 11]
[Librería, 3]
[de, 21356]
[Fernando, 3]
[Fé, 3]
[Madrid, 79]
[1900, 2]
[Prólogo, 1]
[Creo, 14]
[que, 12930]
[fue, 313]
[Wieland, 1]
[quien, 277]
[dijo, 424]
[los, 4908]
[pensamientos, 34]
[hombres, 84]
[valen, 3]
[más, 2168]
[sus, 1349]
[acciones, 12]
[y, 11421]
[las, 3640]
[buenas, 56]
[novelas, 32]
[el, 9291]
[género, 49]
[humano, 17]
[Podrá, 2]
[esto, 505]
[ser, 628]
[verdad, 188]
[pero, 1597]
[es, 1283]
[hermoso, 35]
[consolador, 1]
[Ciertamente, 4]
[parece, 104]
[nos, 109]
[ennoblecemos, 1]
[trasladándonos, 1]
[este, 355]
[mundo, 388]
[al, 2604]
[otro, 378]
[la, 13627]
[realidad, 55]
[en, 8666]
[somos, 16]
[tan, 439]
[malos, 29]
[a, 9618]
[ficción, 2]
[valemos, 1]
[aquí, 208]
[véase, 1]
[qué, 939]
[cuando, 457]
[un, 3890]
[cristiano, 33]
[hábito, 17]
[pasar, 111]
[fácilmente, 13]
[mejor, 260]
[vida, 445]
[inventando, 3]
[personas, 54]
[tejiendo, 1]
[sucesos, 11]
[imagen, 32]
[acá, 21]
[le, 3117]
[cuesta, 17]
[poco, 534]
[trabajo, 53]
[volver, 94]
[También, 69]
[digo, 64]
[si, 1128]
[grata, 1]
[tarea, 12]
[fabricar, 3]
[recreándonos, 1]
[ver, 349]
[cuánto, 19]
[superan, 1]
[ideales, 11]
[figurillas, 1]
[toscas, 1]
[sean, 4]
[vivas, 4]
[figuronas, 1]
[nuestro, 36]
[lado, 170]
[bullen, 1]
[regocijo, 2]
[intenso, 18]
[visitamos, 1]
[talleres, 4]
[ajenos, 8]
[pues, 148]
[andar, 32]
[siempre, 411]
[propios, 23]
[trae, 5]
[desasosiego, 1]
[amengua, 1]
[placeres, 24]
[lo, 2884]
[llamaremos, 2]
[creación, 5]
[tener, 145]
[nombre, 73]
[darle, 48]
[Esto, 107]
[visitar, 12]
[significa, 5]
[precisamente, 20]
[una, 2727]
[labor, 5]
[crítica, 10]
[así, 372]
[fuera, 226]
[yo, 722]
[aborrecía, 25]
[tales, 131]
[visitas, 36]
[vez, 499]
[amarlas, 2]
[recrearse, 2]
[obras, 26]
[ajenas, 10]
[sabiendo, 4]
[cómo, 150]
[se, 5646]
[hacen, 35]
[o, 813]
[intenta, 1]
[su, 4078]
[ejecución, 1]
[buscar, 67]
[sorprender, 7]
[dificultades, 15]
[vencidas, 2]
[aciertos, 1]
[fáciles, 6]
[alcanzados, 1]
[con, 4139]
[poderoso, 7]
[esfuerzo, 28]
[satisfacer, 20]
[uno, 137]
[pocos, 63]
[hay, 268]
[admiración, 34]
[placer, 114]
[necesidad, 52]
[imperiosa, 3]
[toda, 265]
[profesión, 2]
[u, 5]
[oficio, 31]
[admirar, 10]
[entendiendo, 2]
[respiración, 8]
[del, 3815]
[arte, 112]
[admira, 1]
[corre, 16]
[peligro, 83]
[morir, 56]
[asfixia, 6]
[El, 1045]
[estado, 82]
[presente, 41]
[nuestra, 30]
[cultura, 3]
[incierto, 6]
[tanto, 223]
[enfermizo, 6]
[desalientos, 1]
[suspicacias, 1]
[enfermo, 41]
[aprensión, 24]
[impone, 6]
[afirmativa, 1]
[consistente, 2]
[hablar, 168]
[creemos, 2]
[bueno, 89]
[guardándonos, 1]
[juicio, 20]
[desfavorable, 1]
[errores, 10]
[desaciertos, 1]
[tonterías, 6]
[Se, 468]
[ha, 385]
[ejercido, 1]
[negativa, 6]
[todos, 508]
[órdenes, 21]
[ella, 1194]
[quizás, 3]
[hemos, 32]
[llegado, 86]
[insana, 2]
[costumbre, 62]
[creernos, 1]
[pueblo, 174]
[estériles, 1]
[absolutamente, 8]
[inepto, 4]
[para, 1695]
[todo, 1085]
[Tanta, 1]
[pesimista, 2]
[porfiado, 1]
[regateo, 1]
[muchos, 151]
[casos, 26]
[negación, 2]
[cualidades, 13]
[nuestros, 12]
[contemporáneos, 3]
[han, 72]
[traído, 20]
[temblor, 8]
[ansiedad, 7]
[continuos, 2]
[nadie, 221]
[atreve, 5]
[dar, 167]
[paso, 121]
[miedo, 164]
[caerse, 5]
[Pensamos, 1]
[demasiado, 75]
[debilidad, 33]
[acabamos, 1]
[padecerla, 1]
[va, 96]
[cabeza, 306]
[duele, 7]
[corazón, 145]
[vicia, 1]
[sangre, 76]
[decirlo, 18]
[pensarlo, 15]
[vemos, 4]
[agobiados, 1]
[crueles, 4]
[sufrimientos, 1]
[Para, 112]
[convencernos, 1]
[son, 167]
[ilusorios, 1]
[sería, 132]
[malo, 42]
[suspender, 3]
[dedicándonos, 1]
[aunque, 271]
[ello, 98]
[parezca, 6]
[extraño, 28]
[infundir, 2]
[ánimos, 2]
[diciéndole, 6]
[Tu, 7]
[pereza, 30]
[tu, 102]
[anemia, 3]
[proviene, 1]
[sedentarismo, 1]
[Levántate, 1]
[anda, 25]
[naturaleza, 59]
[fuerte, 120]
[engaña, 8]
[sugiriéndole, 1]
[desconfianza, 8]
[sí, 506]
[misma, 180]
[idea, 139]
[errónea, 1]
[nada, 487]
[sirves, 1]
[ya, 912]
[vives, 2]
[muriendo, 6]
[Convendría, 1]
[censores, 1]
[disciplentes, 1]
[callarán, 2]
[algún, 104]
[tiempo, 387]
[dejando, 23]
[alzasen, 1]
[voz, 326]
[repartan, 1]
[oxígeno, 1]
[alegría, 106]
[alientan, 1]
[útil, 9]
[iniciativa, 9]
[fecunda, 2]
[feliz, 48]
[acierto, 3]
[artístico, 11]
[cualquier, 70]
[orden, 61]
[sea, 93]
[Estas, 26]
[apreciaciones, 1]
[carácter, 40]
[general, 97]
[sugeridas, 1]
[situación, 39]
[especialísima, 1]
[raza, 31]
[española, 20]
[aplico, 1]
[cosas, 200]
[literarias, 6]
[terreno, 38]
[estamos, 14]
[necesitados, 1]
[alguno, 30]
[prevenirnos, 1]
[contra, 126]
[terrible, 44]
[epidemia, 1]
[Por, 311]
[mi, 376]
[parte, 200]
[declaro, 1]
[muchas, 149]
[veces, 366]
[he, 172]
[cogido, 14]
[aparato, 7]
[aereación, 1]
[impropiamente, 1]
[venido, 39]
[dando, 62]
[incensario, 1]
[manos, 167]
[aferradas, 1]
[telar, 3]
[mayor, 163]
[esclavitud, 8]
[quisiera, 39]
[Pero, 803]
[primera, 88]
[ocasión, 81]
[descanso, 18]
[felizmente, 2]
[coincide, 2]
[dichosa, 5]
[oportunidad, 7]
[publicación, 1]
[libro, 60]
[salgo, 6]
[mis, 79]
[alabanzas, 6]
[gozoso, 3]
[dárselas, 1]
[autor, 18]
[obra, 72]
[fueron, 51]
[señalados, 1]
[preferencias, 2]
[Así, 92]
[editor, 1]
[me, 803]
[propuso, 20]
[escribir, 36]
[prólogo, 2]
[esperé, 1]
[dijera, 17]
[dos, 413]
[creyéndome, 3]
[muy, 775]
[honrado, 16]
[tal, 300]
[encomienda, 1]
[habiendo, 1]
[celebrado, 2]
[letras, 32]
[molde, 2]
[salida, 13]
[novela, 19]
[hondamente, 1]
[cautivó, 1]
[creía, 231]
[creo, 92]
[deber, 41]
[mío, 87]
[celebrarla, 1]
[enaltecerla, 1]
[como, 2350]
[merece, 9]
[esta, 372]
[tercera, 11]
[seguirán, 1]
[otras, 195]
[sin, 1351]
[duda, 81]
[lleven, 3]
[extremos, 12]
[popularidad, 2]
[Hermoso, 4]
[vivan, 1]
[gusto, 75]
[leerlas, 2]
[estimación, 3]
[aun, 59]
[controversias, 1]
[ocasionadas, 2]
[asunto, 52]
[concreten, 1]
[días, 223]
[menos, 419]
[largos, 22]
[aparición, 8]
[desgracia, 45]
[poética, 20]
[narrativa, 3]
[alcance, 6]
[longevidad, 1]
[siquiera, 112]
[decorosa, 6]
[basta, 32]
[tenga, 17]
[condiciones, 17]
[salud, 73]
[robustez, 4]
[necesita, 26]
[buena, 139]
[complexión, 2]
[perseverancia, 3]
[autores, 12]
[editores, 1]
[dejarla, 11]
[languidecer, 1]
[obscuro, 39]
[rincón, 49]
[estos, 113]
[saquen, 1]
[ventilen, 1]
[presenten, 1]
[arriesgándose, 1]
[luchar, 23]
[cada, 189]
[nueva, 96]
[indiferencia, 16]
[público, 73]
[escaso, 6]
[distraído, 24]
[responde, 4]
[sale, 9]
[encuentro, 15]
[paciencia, 24]
[tranquilidad, 20]
[necesarias, 7]
[esperar, 39]
[muchedumbres, 2]
[estas, 182]
[llegan, 5]
[pasan, 6]
[recogen, 1]
[les, 191]
[da, 48]
[No, 1035]
[serían, 26]
[penosos, 1]
[plantones, 2]
[aguardando, 1]
[Prensa, 3]
[diera, 7]
[calor, 69]
[verdadera, 39]
[vitalidad, 1]
[circulante, 2]
[limitarse, 1]
[conceder, 2]
[aprecio, 3]
[compasivo, 1]
[prodigar, 3]
[ton, 2]
[ni, 828]
[adjetivos, 1]
[estampilla, 1]
[Sin, 96]
[corresponde, 3]
[social, 20]
[político, 20]
[culpa, 86]
[pueda, 13]
[modo, 189]
[mientras, 173]
[nuevos, 22]
[tiempos, 36]
[estados, 4]
[mejores, 36]
[infundan, 1]
[devoción, 28]
[Arte, 3]
[Debemos, 1]
[resignarnos, 1]
[plantón, 1]
[sentarnos, 1]
[camino, 104]
[incómoda, 3]
[pase, 4]
[despertadora, 1]
[materias, 14]
[fin, 214]
[pasará, 5]
[dudemos, 1]
[cuestión, 63]
[En, 594]
[corren, 2]
[esa, 141]
[preciosa, 4]
[virtud, 97]
[hace, 85]
[falta, 96]
[artística, 11]
[literaria, 5]
[nacer, 9]
[arrastrar, 7]
[miserable, 75]
[después, 439]
[penoso, 1]
[nacimiento, 8]
[Seamos, 1]
[pacientes, 1]
[sufridos, 1]
[tenaces, 1]
[esperanza, 59]
[benévolos, 1]
[sociedad, 51]
[vivimos, 2]
[persuadidos, 1]
[otra, 397]
[vulgarmente, 2]
[cree, 30]
[dice, 103]
[mejorarán, 1]
[nuestras, 14]
[declamaciones, 1]
[sino, 191]
[inesperados, 3]
[impulsos, 13]
[nazcan, 1]
[propio, 56]
[seno, 33]
[Y, 1119]
[perezas, 1]
[estímulos, 3]
[pertinente, 1]
[principal, 67]
[materia, 53]
[él, 1532]
